#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-1.9546918869 25.4546890259 0.2711278200 8.6518926620 0.0000000000 0.0000000000 -0.0138611654 1.6061248779
-1.8842632771 25.3636837006 0.2991271019 8.6122989655 0.0000000000 0.0000000000 -0.0141498735 1.6107270718
-1.8150315285 25.2757682800 0.3257715404 8.5746946335 0.0000000000 0.0000000000 -0.0145050175 1.6152935028
-1.7468585968 25.1909027100 0.3536002934 8.5395374298 0.0000000000 0.0000000000 -0.0148273781 1.6196863651
-1.6795288324 25.1089878082 0.3832776248 8.5048656464 0.0000000000 0.0000000000 -0.0150635401 1.6238673925
-1.6130740643 25.0298385620 0.4148997962 8.4685029984 0.0000000000 0.0000000000 -0.0152882840 1.6279823780
-1.5475909710 24.9533805847 0.4478696287 8.4310789108 0.0000000000 0.0000000000 -0.0155830691 1.6321171522
-1.4831413031 24.8796348572 0.4817638099 8.3919963837 0.0000000000 0.0000000000 -0.0158623643 1.6361408234
-1.4195761681 24.8086299896 0.5151235461 8.3542079926 0.0000000000 0.0000000000 -0.0160688795 1.6401398182
-1.3568991423 24.7401294708 0.5468149185 8.3188447952 0.0000000000 0.0000000000 -0.0162238497 1.6439526081
-1.2952072620 24.6738357544 0.5773433447 8.2868337631 0.0000000000 0.0000000000 -0.0162961613 1.6476832628
-1.2346633673 24.6094799042 0.6089054942 8.2551698685 0.0000000000 0.0000000000 -0.0162872802 1.6515331268
-1.1753367186 24.5471000671 0.6403591037 8.2250375748 0.0000000000 0.0000000000 -0.0163095146 1.6554638147
-1.1170710325 24.4866390228 0.6712775230 8.1948623657 0.0000000000 0.0000000000 -0.0163714774 1.6593159437
-1.0598856211 24.4280586243 0.7003413439 8.1661682129 0.0000000000 0.0000000000 -0.0164892580 1.6629137993
-1.0037626028 24.3711967468 0.7277883887 8.1382522583 0.0000000000 0.0000000000 -0.0167182740 1.6662800312
-0.9486478567 24.3161468506 0.7536724210 8.1109046936 0.0000000000 0.0000000000 -0.0170351602 1.6695668697
-0.8945211172 24.2631626129 0.7787569165 8.0841693878 0.0000000000 0.0000000000 -0.0173887685 1.6726976633
-0.8413542509 24.2124633789 0.8013200164 8.0606126785 0.0000000000 0.0000000000 -0.0177040510 1.6757726669
-0.7891095281 24.1638393402 0.8224974275 8.0397100449 0.0000000000 0.0000000000 -0.0179277938 1.6787173748
-0.7377927303 24.1171360016 0.8432287574 8.0201396942 0.0000000000 0.0000000000 -0.0180417690 1.6816843748
-0.6874403358 24.0722923279 0.8634302616 8.0004806519 0.0000000000 0.0000000000 -0.0180712808 1.6845068932
-0.6380701661 24.0293025970 0.8824475408 7.9820837975 0.0000000000 0.0000000000 -0.0179606434 1.6871250868
-0.5895682573 23.9882392883 0.9011051655 7.9646110535 0.0000000000 0.0000000000 -0.0177751593 1.6894736290
-0.5419675112 23.9489631653 0.9201816320 7.9492583275 0.0000000000 0.0000000000 -0.0175638366 1.6916280985
-0.4951636195 23.9114055634 0.9394971132 7.9346261024 0.0000000000 0.0000000000 -0.0172863454 1.6933770180
-0.4490036666 23.8754615784 0.9586682916 7.9213843346 0.0000000000 0.0000000000 -0.0169630498 1.6946363449
-0.4035331309 23.8409862518 0.9763096571 7.9096469879 0.0000000000 0.0000000000 -0.0166483000 1.6953735352
-0.3588791788 23.8078632355 0.9912716746 7.8994655609 0.0000000000 0.0000000000 -0.0162708554 1.6958866119
-0.3151752055 23.7758979797 1.0047630072 7.8899669647 0.0000000000 0.0000000000 -0.0158534162 1.6963434219
-0.2724444568 23.7448940277 1.0165981054 7.8811030388 0.0000000000 0.0000000000 -0.0153966499 1.6968342066
-0.2307010293 23.7149562836 1.0270212889 7.8729934692 0.0000000000 0.0000000000 -0.0149416868 1.6974270344
-0.1897391677 23.6862010956 1.0373247862 7.8640952110 0.0000000000 0.0000000000 -0.0145107601 1.6981745958
-0.1495056897 23.6585559845 1.0473544598 7.8547582626 0.0000000000 0.0000000000 -0.0141391242 1.6989625692
-0.1100598648 23.6319980621 1.0567258596 7.8456974030 0.0000000000 0.0000000000 -0.0137815764 1.6997411251
-0.0715060160 23.6063117981 1.0661553144 7.8377566338 0.0000000000 0.0000000000 -0.0134838540 1.7005530596
-0.0338501297 23.5814895630 1.0759042501 7.8313145638 0.0000000000 0.0000000000 -0.0132348053 1.7014507055
0.0030547767 23.5576858521 1.0861595869 7.8249483109 0.0000000000 0.0000000000 -0.0129999127 1.7023060322
0.0393287838 23.5349712372 1.0975105762 7.8185682297 0.0000000000 0.0000000000 -0.0126980497 1.7030633688
0.0749398768 23.5132064819 1.1089071035 7.8130865097 0.0000000000 0.0000000000 -0.0122977039 1.7040611506
0.1097764894 23.4922065735 1.1209764481 7.8074240685 0.0000000000 0.0000000000 -0.0118014095 1.7051032782
0.1438282728 23.4719085693 1.1328198910 7.8017368317 0.0000000000 0.0000000000 -0.0113718854 1.7061668634
0.1772918105 23.4525222778 1.1445699930 7.7958493233 0.0000000000 0.0000000000 -0.0110545997 1.7070274353
